Job ID,Date,Company Name,Post,Location,Description,Level
2382165770,2021-02-11,"TDI Technologies, Inc",Software Developer,"Philadelphia, PA","Direct message the job poster from TDI Technologies, Inc Charles Donches",Mid-Senior level
2420249602,2021-02-11,Broadcom Inc.,Full Stack Web Developer,"San Jose, CA","Please Note  If you are a first time user, please create your candidate login account before you apply for a job. (Click Sign In > Create Account)                     Show more",Mid-Senior level
2401637010,2021-02-11,vineyard vines,Web Developer,"Stamford, CT","Web Developer  About us:  vineyard vines is a highly successful, privately held, American clothing and accessory retailer founded in 1998 on Martha’s Vineyard by brothers, Shep & Ian Murray. With Shep & Ian still at the helm today, vineyard vines has experienced exponential year over year growth and now operates over 100 retail locations including an outlet division, a successful e-commerce business, domestic distribution center, and expanding corporate headquarters. In addition, vineyard vines is also carried in major department stores such as Nordstrom and Bloomingdales as well as numerous specialty boutiques across the US. At vineyard vines, we pride ourselves on Shep & Ian’s philosophy that “every day should feel this good” and “if you’re doing what you love, you’ll be successful”.     Show more",Associate
2420247137,2021-02-11,Luxoft,Full Stack PHP Developer,"Plano, TX",Direct message the job poster from Luxoft Sara Petersen Recruiter Specialist at Luxoft,Associate
2420244464,2021-02-11,Brooksource,Software Engineer,"Franklin Lakes, NJ",Direct message the job poster from Brooksource Catherine Anderson Technical Recruiter at Brooksource,Entry level
2420244102,2021-02-11,"Vertek Solutions, Inc.",Frontend Web Developer,"Nashville, TN","Direct message the job poster from Vertek Solutions, Inc. Marjorie Cheatham Sr. Technical Recruiter at Vertek Solutions, Inc.",Mid-Senior level
2420242310,2021-02-11,Verizon,Junior Java Developer,"Alpharetta, GA","Job # 556114  When you join Verizon  Verizon is a leading provider of technology, communications, information and entertainment products, transforming the way we connect across the globe. We’re a diverse network of people driven by our ambition and united in our shared purpose to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward - and you can too. Dream it. Build it. Do it here.    As a Junior Java Developer,candidatewill be required to design, develop webapplicationto support digital platforms. Analyze and identify opportunities to optimize purchase flows to increase sale of accessories.             We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best.Check out our page to learn more.  Job Family: TEC  Business Unit: STDBU Show more",Entry level
2394557534,2021-02-11,CrossBorder Solutions,Senior Full Stack JavaScript Engineer,"St Petersburg, FL","Role Overview  Does building enterprise-level, full-stack JavaScript systems and getting hands-on experience with the newest cloud technologies sound as excellent to you as it does to me? Want to learn new technologies, or improve your existing skills across all levels of the stack? Enjoy working across cloud infrastructure, databases, business logic, and the User Interface? Do you love to teach junior developers or aspire to be an elite developer? Why are you still waiting? The problems are complex, the fellow geeks are great, and the possibilities are endless! You will love the work we are doing at CrossBorder Solutions.                       Show more",Mid-Senior level
2420242139,2021-02-11,Talener,REMOTE - Senior Web Developer - (REACT/Node),"Los Angeles, CA","The Company  Our client located in Los Angeles, CA is looking for a Senior Web Developer to join their engineering team made up of leaders in the online marketing and online consumer acquisition industry. This role can be 100% REMOTE Our client provides a platform that operates across a variety of financial, social, and educational markets with partners specializing in online higher education portals, educational and insurance financing across all sectors, and much more.    In this Senior Web Developer role, you will be responsible for the development and operations of all consumer-facing web and mobile applications, as well as having a role in being involved numerous projects and products within other departments to ensure that all production is fluid end to end.        If you are interested in this role, please contact Adam Deutsch @adeutsch@talener.com Show more",Mid-Senior level
2420239582,2021-02-11,The University of Texas at Austin,Senior Web Developer,"Austin, Texas Metropolitan Area","Direct message the job poster from The University of Texas at Austin Ann D. Recruiting, Texas Development, The University of Texas at Austin",Not Applicable
